AQI Bucket,City,Date,AQI,Benzene,CO,N Ox,NH3,NO,NO2,O3,Pm10,Pm2.5,SO2,Toluene,Xylene
Moderate,Bengaluru,05-05-2018,144,0.28,0.72,18.98,,3.63,33.46,38.61,,62.35,4.22,0.66,
Satisfactory,Bengaluru,06-05-2018,99,0.24,0.73,14.69,,3.35,24.55,44.38,,79,5.71,0.55,
Moderate,Bengaluru,07-05-2018,151,0.53,0.91,32.23,,28.39,60.58,36.48,,50.52,5.1,0.92,
Moderate,Bengaluru,08-05-2018,113,1.25,0.8,13.81,,4.95,33.39,32.43,,55.88,6.3,1.61,
Satisfactory,Bengaluru,09-05-2018,76,0.77,0.69,19.63,,3.82,27.7,52.6,,32.46,5.64,1.19,
Satisfactory,Bengaluru,10-05-2018,65,0.71,0.81,17.75,,6.84,27.51,41.46,,28.99,5.31,1.15,
Satisfactory,Bengaluru,11-05-2018,59,0.82,0.89,18.71,,7.84,39.99,24.19,,27.03,5.48,1.28,
Satisfactory,Bengaluru,12-05-2018,62,0.76,0.88,13.98,,3.38,24.22,39.45,,27.01,4.33,1.22,
Satisfactory,Bengaluru,13-05-2018,60,0.72,0.86,13.73,,3.42,26.31,46.78,,26.73,5.76,1.19,
Satisfactory,Bengaluru,14-05-2018,69,0.85,0.87,21.25,,5.95,47.07,37.5,,33.13,7.1,1.34,
Satisfactory,Bengaluru,15-05-2018,64,0.83,0.7,18.25,,7.74,41.15,44.59,,35.64,6.35,1.29,
Satisfactory,Bengaluru,16-05-2018,61,0.79,0.82,16.48,,5.28,34.6,29.15,,34.36,6.26,1.31,
Satisfactory,Bengaluru,17-05-2018,65,0.7,0.9,15.82,,3.42,24,41.75,,39.69,5.16,1.22,
Satisfactory,Bengaluru,18-05-2018,92,0.82,1.1,27.53,,13.78,33.14,35.22,124.39,43.05,4.09,1.37,
Satisfactory,Bengaluru,19-05-2018,98,0.99,0.98,34.28,,17.64,42.69,42.52,94.78,45.09,4.82,1.6,
Satisfactory,Bengaluru,20-05-2018,80,0.7,0.79,10.96,,3.31,18.67,47.98,66.81,47.83,4.3,1.17,
Satisfactory,Bengaluru,21-05-2018,71,0.98,0.8,19.8,,8.66,33.17,36.12,58.23,52.64,4.51,1.28,
Satisfactory,Bengaluru,22-05-2018,90,0.47,1.06,20.95,,5.24,35.39,41.2,71.88,59.24,3.12,1.02,
Moderate,Bengaluru,23-05-2018,117,0.52,0.93,26.25,,7.04,35.36,30.74,84.46,62.6,4.33,1.38,
Satisfactory,Bengaluru,24-05-2018,70,0.37,0.92,21.18,,6.35,32.53,34.78,65.64,35.4,4.77,1.04,
Satisfactory,Bengaluru,25-05-2018,73,0.28,0.95,21.53,,7.52,30.05,27.78,64.28,46.14,4.87,1.07,
Satisfactory,Bengaluru,26-05-2018,76,0.36,1.12,26.53,,13.58,30.58,22.59,43.62,33.64,3.78,0.76,
Satisfactory,Bengaluru,27-05-2018,89,0.17,1.02,27.37,,11.87,29.69,19.04,52.37,41.73,3.86,0.61,
Satisfactory,Bengaluru,28-05-2018,80,0.09,1.19,18.11,,6.2,18.87,30.76,48.38,29.29,4.26,0.53,
Satisfactory,Bengaluru,29-05-2018,67,0.1,1.18,17.52,,6.37,15.29,27.82,27.94,16.92,3.57,1.02,
Satisfactory,Bengaluru,30-05-2018,60,0.2,1.01,16.18,,6.7,21.27,23.37,38.75,35.67,3.68,1.29,
Satisfactory,Bengaluru,31-05-2018,73,0.47,1.03,17.21,,7.15,22.99,21.01,41.38,33.16,3.55,2.92,
Satisfactory,Bengaluru,01-06-2018,68,0.28,0.99,19.15,,8.89,25.48,24.28,60.8,42.07,3.69,1.56,
Satisfactory,Bengaluru,02-06-2018,86,0.43,1.06,24.13,,10.58,35.43,23.96,54.34,44.47,6.55,2.13,
Satisfactory,Bengaluru,03-06-2018,88,0.28,1.01,15.78,,7.51,22.36,16.46,29.26,38.79,4.18,1.76,
Satisfactory,Bengaluru,04-06-2018,60,0.11,0.96,16.36,,8.65,20.58,15.51,28.86,23.35,4.39,0.94,
Satisfactory,Bengaluru,05-06-2018,61,0.13,0.94,15.62,,8.03,16.5,16.54,22.18,25.5,6.31,1.09,
Satisfactory,Bengaluru,06-06-2018,63,0.11,1.04,15.45,,7.8,17.25,12.58,27.69,22.77,7.21,1.02,
Satisfactory,Bengaluru,07-06-2018,70,0.07,1,17.37,,9.77,16.84,13.22,31.71,25.27,5.85,0.77,
Good,Bengaluru,08-06-2018,50,0.05,0.91,16.94,18.55,9.94,15.8,11.05,21.36,19.28,6.23,0.64,
Satisfactory,Bengaluru,09-06-2018,52,0.06,0.96,16.88,,9.68,16.01,15.82,26.98,19.32,5.35,0.56,
Satisfactory,Bengaluru,10-06-2018,51,0.01,0.92,20.16,,13.55,20.85,12.71,28.7,18.93,5.19,0.51,
Satisfactory,Bengaluru,11-06-2018,65,0.28,0.99,18.29,,10.26,15.51,10.74,34.25,23.76,4.66,0.88,
Good,Bengaluru,12-06-2018,50,1.11,0.99,15.48,,9.05,13.32,13.91,48.19,23.78,3.37,2.42,
Good,Bengaluru,13-06-2018,49,1.03,0.95,18.48,,10.17,15.9,12.97,48.59,27.34,4,2.41,
Satisfactory,Bengaluru,14-06-2018,61,0.59,1.02,20.84,,10.85,19.26,16.41,35.64,31.79,2.91,1.4,
Satisfactory,Bengaluru,15-06-2018,83,0.85,1.01,21.94,54.13,9.95,23.54,18.53,33.51,61.43,3.21,1.74,
Moderate,Bengaluru,16-06-2018,106,1.22,1.09,20.74,65.66,9.44,18.63,13.77,43.59,22.24,3.24,2.42,
Satisfactory,Bengaluru,17-06-2018,55,0.88,1.06,18.77,65.85,9.08,15.39,8.71,42.66,17.38,3.83,1.8,
Satisfactory,Bengaluru,18-06-2018,69,0.78,1.15,19.88,52.88,9.51,14.75,11.02,100.6,13.38,4.93,1.56,
Satisfactory,Bengaluru,19-06-2018,81,0.64,1.06,17.4,39.88,8.27,12.51,14.71,100.12,32.62,4.53,1.24,
Satisfactory,Bengaluru,20-06-2018,69,0.57,1.06,18.08,39.82,8.31,14.01,21.95,73.69,13.64,4.83,1.2,
Satisfactory,Bengaluru,21-06-2018,64,0.53,1.02,20.93,39.87,7.76,20.26,25.83,76.66,16.71,5.1,1.18,
Satisfactory,Bengaluru,22-06-2018,64,0.53,1.02,27.45,40.19,10.67,31.69,26.92,79.08,18.94,4.68,1.22,
Satisfactory,Bengaluru,23-06-2018,66,0.68,1.03,22.5,43.21,9.93,23.67,17.71,55.83,23.76,4.7,1.45,
Satisfactory,Bengaluru,24-06-2018,64,0.3,0.98,18.69,43.75,7.93,15.51,15.09,73.73,21.84,4.64,0.83,
Satisfactory,Bengaluru,25-06-2018,87,0.36,1.01,16.14,39.41,6.93,14.77,14.73,70.62,51.82,4.79,1.09,
Satisfactory,Bengaluru,26-06-2018,92,0.34,0.93,13.51,42.98,5.69,13.9,18.29,56.97,32.62,4.78,0.86,
Satisfactory,Bengaluru,27-06-2018,60,0.36,1.02,12.58,42.71,4.95,15.17,16.43,42.25,11.68,4.87,0.93,
Satisfactory,Bengaluru,28-06-2018,57,0.5,0.99,14.8,42.01,6.3,17.93,15.6,34.44,9.23,5.5,1.13,
Satisfactory,Bengaluru,29-06-2018,51,0.54,0.99,17.54,37.54,10.26,17.94,17.84,44.86,11.93,5.95,1.32,
Satisfactory,Bengaluru,30-06-2018,66,0.88,1,38.97,26.36,32.78,33.04,10.67,65.8,18.23,6.63,2,
Satisfactory,Bengaluru,01-07-2018,72,2.3,0.89,32.18,26.09,24.59,22.68,11.29,64.03,19.15,6.11,5.82,
Satisfactory,Bengaluru,02-07-2018,63,0.64,0.88,31.9,24.06,28.13,27.31,16.14,55.13,16.29,6.9,2.13,
Satisfactory,Bengaluru,03-07-2018,63,0.66,0.87,28.51,20.48,23.02,20.07,16.04,62.68,21.63,7.51,3,
Satisfactory,Bengaluru,04-07-2018,60,0.58,0.79,23.4,22.71,17.71,15.35,14.42,71.37,18.55,6.49,3.48,
Satisfactory,Bengaluru,05-07-2018,61,0.55,0.82,24,21.44,17.18,17.48,15.83,74.52,20.36,6.47,3.5,
Satisfactory,Bengaluru,06-07-2018,65,0.52,0.86,23.64,22.71,17.06,16.86,15.59,58.91,21.44,6.63,3.34,
Satisfactory,Bengaluru,07-07-2018,56,0.5,0.76,22.69,22.06,13.94,17.49,18.73,38.84,15.56,7.2,3.18,
Satisfactory,Bengaluru,08-07-2018,62,0.51,0.89,19.14,22.05,13.04,14.5,16.35,42.49,22.83,7.09,3.42,
Satisfactory,Bengaluru,09-07-2018,66,0.6,0.88,27.64,22.46,20.04,18.16,13.71,56.44,21.11,7.5,3.99,
Satisfactory,Bengaluru,10-07-2018,63,0.51,0.87,28.01,20.65,19.76,20.32,14.05,52.63,36.65,7.49,4.06,
Satisfactory,Bengaluru,11-07-2018,78,0.44,0.9,24.79,22.12,17.69,16.23,14.5,53.13,20.8,8.27,3.75,
Satisfactory,Bengaluru,12-07-2018,56,0.44,0.75,20.39,21.33,15.33,14.74,15.79,51.19,17.82,8.6,3.11,
Satisfactory,Bengaluru,13-07-2018,53,0.42,0.78,20.25,23.13,12.73,15.78,18.07,47.82,16.63,7.14,3.04,
Satisfactory,Bengaluru,14-07-2018,57,0.49,0.75,22.41,21.52,16.04,15.81,16.19,60.54,18.87,7.47,2.98,
Satisfactory,Bengaluru,15-07-2018,62,0.33,0.71,16.7,20.98,12.09,12.25,17.01,63.33,17.08,6.66,2.35,
Satisfactory,Bengaluru,16-07-2018,59,0.45,0.8,25.39,21.92,19.67,16.2,13.25,47.19,19.93,7.32,2.77,
Satisfactory,Bengaluru,17-07-2018,60,0.5,0.82,16.7,23.5,10.93,15.05,18.52,53.45,16.98,7.56,3.37,
Satisfactory,Bengaluru,18-07-2018,57,0.58,0.8,11.96,21.62,6.08,13.81,17.83,56.14,18.83,7.75,3.5,
Satisfactory,Bengaluru,19-07-2018,59,0.61,0.86,13.91,20.52,6.33,16.04,18.19,43.02,16.82,7.58,3.1,
Satisfactory,Bengaluru,20-07-2018,52,0.49,0.83,13.27,20.52,6.5,16.03,22.36,41.94,15.52,7.49,2.74,
Satisfactory,Bengaluru,21-07-2018,59,0.5,0.83,13.99,20.49,6.02,17.69,21.97,52.67,17.44,7.68,3.07,
Satisfactory,Bengaluru,22-07-2018,60,0.36,0.85,11.91,20.14,5.71,14.94,21.53,67.89,18.63,8.01,2.92,
Satisfactory,Bengaluru,23-07-2018,65,0.56,0.87,18.1,21.94,9.81,18.69,15.16,51.56,19.86,7.9,3.55,
Satisfactory,Bengaluru,24-07-2018,64,0.56,0.92,15.74,25.82,7.46,16.37,13.77,50.14,17.85,7.08,3.67,
Satisfactory,Bengaluru,25-07-2018,59,0.73,0.94,19.77,23.36,8.78,18.57,12.29,44.75,17.62,7.68,6.09,
Satisfactory,Bengaluru,26-07-2018,65,0.61,0.83,33.72,20.06,12.84,28.4,13.43,55.87,20,7.55,3.7,
Satisfactory,Bengaluru,27-07-2018,68,0.61,0.76,22.7,18.75,8.27,21.86,15.22,64.9,22.28,7.46,3.91,
Satisfactory,Bengaluru,28-07-2018,59,0.38,0.77,15.78,18.96,6.85,17.94,16.19,64.54,21.05,6.84,2.97,
Satisfactory,Bengaluru,29-07-2018,66,0.38,0.79,14.34,20.18,6.38,15.62,15.94,57.53,20.1,6.51,2.79,
Satisfactory,Bengaluru,30-07-2018,64,0.66,0.97,23.4,22.04,15.82,18.15,14.61,65.5,22.92,7.18,3.24,
Satisfactory,Bengaluru,31-07-2018,62,0.48,0.75,26.45,22.48,16.68,19.01,15.43,67.39,20.96,6.44,3.1,
Satisfactory,Bengaluru,01-08-2018,66,0.55,0.83,29.88,21.15,17.54,22.78,14.61,68.6,20.59,6,3.09,
Satisfactory,Bengaluru,02-08-2018,68,0.4,0.83,24.09,20.75,12.55,19.33,15.23,68.41,20.73,6.28,2.59,
Satisfactory,Bengaluru,03-08-2018,72,1.27,0.9,26.75,20.61,17.03,18.78,12.05,71.35,23.34,6.5,3.96,
Satisfactory,Bengaluru,04-08-2018,77,0.59,0.9,31.52,20.08,23.36,18.82,12.14,94.02,27.61,6.8,3.09,
Satisfactory,Bengaluru,05-08-2018,77,0.4,0.83,23.82,19.42,17.45,15.27,13.44,81.19,20.75,7.15,2.68,
Satisfactory,Bengaluru,06-08-2018,67,0.53,0.78,26.37,19.36,18.79,18,14.22,66.31,23.63,5.94,2.77,
Satisfactory,Bengaluru,07-08-2018,67,0.47,0.81,26.63,19.67,18.82,18.39,13.14,59.59,18.24,6.18,2.71,
Satisfactory,Bengaluru,08-08-2018,60,0.53,0.87,31.6,19.55,24.08,20.05,11.18,43.88,18.35,6.68,3.37,
Satisfactory,Bengaluru,09-08-2018,58,0.56,0.83,28.22,20.98,21.68,17.68,13.65,55.07,17.33,6.27,3.4,
Satisfactory,Bengaluru,10-08-2018,60,0.54,0.79,29.13,19.74,23.38,16.8,11.75,59.31,18.24,7.52,3.42,
Satisfactory,Bengaluru,11-08-2018,56,0.62,0.78,28.96,19.86,23.61,17.12,11.75,46.24,18.6,6.44,3.17,
Satisfactory,Bengaluru,12-08-2018,57,0.6,0.77,21.04,18.86,16.83,13.53,12.48,35.22,10.61,6.96,2.52,
Satisfactory,Bengaluru,13-08-2018,53,0.45,0.8,25.47,18.9,18.47,15.3,11.69,39.72,11.4,5.96,2.52,
Satisfactory,Bengaluru,14-08-2018,60,0.53,0.89,30.21,18.01,20.8,17.12,11.02,31.87,13.1,6.34,2.73,
Satisfactory,Bengaluru,15-08-2018,59,0.46,0.85,26.23,19.41,17.91,15.93,11.1,36.24,15.35,6.35,2.75,
Satisfactory,Bengaluru,16-08-2018,52,0.37,0.68,23.99,20.34,14.92,16.13,15.54,38.58,12.86,5.58,2.17,
Good,Bengaluru,17-08-2018,48,0.41,0.67,25.21,17.01,16.77,15.35,14.21,52.28,16.77,5.76,2.41,
Satisfactory,Bengaluru,18-08-2018,57,0.33,0.73,24.67,17.14,15.73,15.9,14.37,65.73,20.09,6.76,2.25,
Satisfactory,Bengaluru,19-08-2018,59,0.35,0.69,24.39,16.94,13.99,16.35,15.56,52.97,16.78,6.44,2.05,
Satisfactory,Bengaluru,20-08-2018,53,0.41,0.74,30.67,19.27,19.12,18.52,14.54,67.41,24.78,6.65,2.12,
Satisfactory,Bengaluru,21-08-2018,69,0.44,0.77,29.4,22.57,18.5,17.55,16.38,77.55,20.61,5.95,1.74,
Satisfactory,Bengaluru,22-08-2018,65,0.38,0.78,30.51,21.02,19.51,17.29,16.23,74,20.75,6.92,1.78,
Satisfactory,Bengaluru,23-08-2018,63,0.43,0.9,32.44,21.4,22.31,17.95,13.6,52.66,17.29,7.32,2.12,
Satisfactory,Bengaluru,24-08-2018,62,0.54,0.82,34.56,21.91,22.92,18.94,12.61,60.28,18.74,7.81,2.52,
Satisfactory,Bengaluru,25-08-2018,67,0.5,0.92,36.32,25.09,24.38,19.62,12.01,75.89,22.36,7.61,2.19,
Satisfactory,Bengaluru,26-08-2018,70,0.29,0.93,31.57,23.73,21.34,18.03,13.19,60.03,18.42,7.07,1.83,
Satisfactory,Bengaluru,27-08-2018,62,0.43,0.86,36.57,24.91,25.62,19.41,10.61,64.68,19.86,7.09,2.13,
Satisfactory,Bengaluru,28-08-2018,64,0.3,0.81,31.9,22.82,20.83,18.83,12.42,63.28,21.93,6.5,2.02,
Satisfactory,Bengaluru,29-08-2018,68,0.48,0.87,30.96,21.16,16.42,18.42,10.52,49.08,20.52,6.94,2.93,
Satisfactory,Bengaluru,30-08-2018,68,0.32,0.79,32.55,19.65,22.69,17.92,11.59,66.23,23.33,7.56,2.43,
Satisfactory,Bengaluru,31-08-2018,64,0.33,0.83,38.66,24.71,24.42,23.85,12.01,57.18,19.74,7.34,2.33,
Satisfactory,Bengaluru,01-09-2018,68,0.29,0.8,29.17,22.74,18.31,18.76,15.32,78.59,23.62,7.25,2.03,
Satisfactory,Bengaluru,02-09-2018,66,0.27,0.76,26.12,19.52,16.09,17.44,17.84,69.2,21.84,8.3,2,
Satisfactory,Bengaluru,03-09-2018,63,0.33,0.87,36.16,18.8,24.51,20.87,16.89,73.19,25.06,8.66,2.25,
Satisfactory,Bengaluru,04-09-2018,76,0.97,0.91,37.81,21.32,21.82,26.03,18.24,81.02,32.78,8.63,3.29,
Satisfactory,Bengaluru,05-09-2018,78,0.31,0.85,31.97,20.18,19.25,21.06,18.23,77.04,25.32,7.69,2.47,
Satisfactory,Bengaluru,06-09-2018,66,0.31,0.8,33.3,19.48,20.52,21.41,17.79,71.56,25.21,8.53,2.16,
Satisfactory,Bengaluru,07-09-2018,70,0.35,0.79,32.1,19.09,20.06,20.41,16.77,66.34,27.2,8.27,2.18,
Satisfactory,Bengaluru,08-09-2018,63,0.18,0.75,23.04,18.31,9.29,19.4,17.16,47.45,18.32,7.58,1.77,
Satisfactory,Bengaluru,09-09-2018,64,0.23,0.82,25.42,19.12,9.72,23.74,23.36,56.66,19.07,7.65,1.83,
Satisfactory,Bengaluru,10-09-2018,73,0.36,0.96,28.16,23.38,8.51,29.62,21.64,72.52,28.1,7.71,2.42,
Satisfactory,Bengaluru,11-09-2018,90,0.46,0.95,35.58,24.82,12.1,34.78,32.98,79.46,30.34,6.95,3.12,
Satisfactory,Bengaluru,12-09-2018,91,0.39,0.96,42.15,22.64,16.57,38.97,33.73,73.31,24.47,7.44,2.72,
Satisfactory,Bengaluru,13-09-2018,88,0.43,0.99,39.47,26.39,14.04,38.83,21.83,76.26,29.84,8.27,2.93,
Satisfactory,Bengaluru,14-09-2018,94,0.43,0.98,42.26,30.61,14.95,42.11,32.17,76.6,27.72,7.55,2.77,
Satisfactory,Bengaluru,15-09-2018,77,0.35,0.95,41.69,26.97,15.31,40.13,25.3,56.2,24.1,7.46,3.2,
Satisfactory,Bengaluru,16-09-2018,73,0.42,0.96,46.22,25.87,26.3,35.93,19.68,55.34,24.43,8.26,3.32,
Satisfactory,Bengaluru,17-09-2018,74,0.39,0.83,41.59,23.55,23.91,30.55,11.82,49.62,19.03,7.87,2.78,
Satisfactory,Bengaluru,18-09-2018,65,0.41,0.76,32.53,23.56,17.97,24.34,13.4,64.1,19.86,7.24,2.25,
Satisfactory,Bengaluru,19-09-2018,65,0.33,0.76,28.88,20.72,12.96,23.2,16.89,69.15,20.21,7.82,1.75,
Satisfactory,Bengaluru,20-09-2018,79,1.01,0.89,54.46,20.6,28.53,41.9,18.67,74.65,25.55,7.22,3.09,
Satisfactory,Bengaluru,21-09-2018,87,0.56,0.8,37.62,21.57,15.97,33.38,19.11,81.33,26.75,6.83,2.33,
Satisfactory,Bengaluru,22-09-2018,77,0.72,0.83,40.33,20.87,21.53,30.37,21.83,80.93,24.45,7.24,2.77,
Satisfactory,Bengaluru,23-09-2018,87,0.56,0.85,39.6,24.26,13.19,38.12,26.8,75.04,30.84,7.1,2.49,
Satisfactory,Bengaluru,24-09-2018,85,0.71,0.93,37.99,22.95,16.43,35,29.89,56.12,22.6,6.7,2.62,
Satisfactory,Bengaluru,25-09-2018,78,1.01,0.99,45.05,20.27,19.45,40.97,22.54,63.24,26.76,6.79,3.04,
Satisfactory,Bengaluru,26-09-2018,85,0.95,0.87,32.14,17.5,12.51,28.45,23.35,76.66,31.25,6.76,2.57,
Satisfactory,Bengaluru,27-09-2018,80,1.03,0.94,37.06,14.07,13.98,30.94,20.67,72.24,29.24,6.59,2.73,
Satisfactory,Bengaluru,28-09-2018,78,0.53,0.8,34.42,15.1,13.23,27.64,14.86,77.69,26.36,6.14,2.04,
Satisfactory,Bengaluru,29-09-2018,75,0.47,0.79,33.62,13.5,13.34,25.67,12.5,64.18,17.35,6.06,1.68,
Satisfactory,Bengaluru,30-09-2018,70,0.4,0.81,31.12,15.14,13.1,23.56,16.11,62.82,25.28,5.67,1.53,
Satisfactory,Bengaluru,01-10-2018,82,0.31,0.87,34.21,14.76,14.5,25.53,18.94,66.61,21.61,6.59,1.44,
Satisfactory,Bengaluru,02-10-2018,67,0.23,0.74,26.83,13.69,11.08,19.67,15.9,51.79,14.51,6.36,1.19,
Satisfactory,Bengaluru,03-10-2018,65,0.18,0.76,27.91,13.57,12.05,20.76,16.22,52.6,15.17,6.27,1.04,
Satisfactory,Bengaluru,04-10-2018,65,0.32,0.8,32.94,13.65,16.7,21.67,8.9,46.9,21.47,6.52,1.3,
Satisfactory,Bengaluru,05-10-2018,62,0.25,0.78,29.23,14.61,15.24,19.47,11.69,40.41,13.99,6.96,1.18,
Satisfactory,Bengaluru,06-10-2018,56,0.32,0.78,29.19,12.98,14.33,19.84,10.5,42,14,6.52,1.3,
Satisfactory,Bengaluru,07-10-2018,62,0.23,0.74,32.48,14.74,13.17,23.91,16.31,69.05,20.86,6.73,0.81,
Satisfactory,Bengaluru,08-10-2018,73,0.38,0.79,34.31,15.77,12.11,26.49,18.26,96.04,32.94,6.84,1,
Satisfactory,Bengaluru,09-10-2018,80,0.94,0.85,41.65,14.37,14.75,32.27,22.25,91.63,31.82,6.89,2,
Satisfactory,Bengaluru,10-10-2018,93,2.07,0.81,47.59,14.9,18.56,34.32,23.46,109.21,40.93,6.48,3.07,
Moderate,Bengaluru,11-10-2018,110,2.79,0.99,63.94,15.2,30.58,43.63,21.65,147.26,55.08,6.55,5.59,
Moderate,Bengaluru,12-10-2018,115,1.46,0.93,60.98,14.22,30.12,44.04,22.96,151.57,56.31,6.53,3.95,
Moderate,Bengaluru,13-10-2018,167,1.68,0.9,57.57,16.09,23.04,41.95,28.02,158.69,72.74,6.35,3.7,
Moderate,Bengaluru,14-10-2018,116,0.72,0.8,28.07,13.1,6.99,26.49,34.33,100.3,48.48,6.28,2.36,
Satisfactory,Bengaluru,15-10-2018,88,1.32,0.88,31.68,14.07,9.88,28.25,23.25,88.52,41.44,6.36,3.76,
Satisfactory,Bengaluru,16-10-2018,90,0.31,0.74,31.15,12.5,10.95,26.88,19.06,94.07,35.37,6.52,1.66,
Satisfactory,Bengaluru,17-10-2018,75,0.9,0.75,32.79,11.95,14.07,22.81,18.23,51.83,19.99,6.56,2.12,
Moderate,Bengaluru,18-10-2018,116,0.78,0.82,37.9,12.18,14,28.34,21.13,55.23,62.95,6.45,2.22,
Satisfactory,Bengaluru,19-10-2018,81,0.24,0.74,27.29,12,9.89,21.84,19.64,61.94,20.75,6.31,1.06,
Satisfactory,Bengaluru,20-10-2018,71,0.15,0.75,31.45,11.56,10.61,25.93,27.25,86.65,25.61,6.74,0.99,
Satisfactory,Bengaluru,21-10-2018,88,0.16,0.74,38.3,12.67,14.12,30.1,29.37,122.86,36.42,7.29,0.95,
Moderate,Bengaluru,22-10-2018,102,0.34,1.04,51.26,11.84,20.84,41.15,29.12,132.8,37.81,7.54,1.6,
Moderate,Bengaluru,23-10-2018,119,0.59,1.16,52.1,13.07,23.55,43.25,24.69,123.18,49.17,8.02,2.32,
Moderate,Bengaluru,24-10-2018,132,0.56,1.01,47.8,14.23,19.33,40.4,24.3,111.41,62.67,8.31,1.78,
Moderate,Bengaluru,25-10-2018,110,0.48,1.02,45.09,16.93,17.54,36.95,25.3,121.55,46.34,6.52,1.87,
Moderate,Bengaluru,26-10-2018,101,0.46,1.01,46.02,22.94,14.97,40.42,30.95,123.42,50.19,7.67,2.07,
Moderate,Bengaluru,27-10-2018,107,0.51,1.03,51.24,20.03,15.66,45.83,37.95,112.7,39.65,6.75,2.22,
Moderate,Bengaluru,28-10-2018,108,0.53,0.97,47.93,19.55,15.03,45.79,38.38,96.1,37.32,6.29,2.61,
Moderate,Bengaluru,29-10-2018,103,0.76,1.12,65.76,18.69,26.17,56.14,35.49,101.84,36.11,7.03,3.56,
Moderate,Bengaluru,30-10-2018,125,0.81,1.19,73.78,19.22,31.63,58.13,28.94,109.55,40.12,6.8,3.44,
Moderate,Bengaluru,31-10-2018,107,0.63,1.06,46.05,20.09,16.33,42.16,26.11,106.07,40.02,5.81,2.78,
Satisfactory,Bengaluru,01-11-2018,92,0.44,0.95,37.49,16.25,16.9,31.6,23.72,66.49,20.96,7.01,1.92,
Satisfactory,Bengaluru,02-11-2018,84,0.36,0.96,29.12,16.35,12.79,24.14,16.57,56.53,17.57,6.14,1.68,
Satisfactory,Bengaluru,03-11-2018,82,0.32,1.1,28.45,16.22,11.8,24.36,20.21,63.23,21.42,6.46,1.66,
Satisfactory,Bengaluru,04-11-2018,74,0.29,0.82,25.74,15.52,9.14,22.91,27.03,77.72,21.84,6.17,1.53,
Satisfactory,Bengaluru,05-11-2018,81,0.39,1.03,32.92,15.31,11.81,28.89,21.7,90.86,23.98,6.14,1.77,
Moderate,Bengaluru,06-11-2018,110,0.66,1.12,34.18,15.25,11.41,30.42,20.31,116.55,41.38,7.11,2.3,
Satisfactory,Bengaluru,07-11-2018,97,0.46,1.04,34.22,15.57,11.01,31.2,27.35,107.56,57.03,7.8,1.85,
Moderate,Bengaluru,08-11-2018,144,0.55,0.99,38.24,15.34,14.54,32.99,23.63,108.02,61.98,7.7,2.04,
Satisfactory,Bengaluru,09-11-2018,94,0.44,0.99,32.31,15.66,11.58,29.99,25.02,98.45,33.68,5.77,1.88,
Satisfactory,Bengaluru,10-11-2018,96,0.76,1.05,39.15,17.41,14.78,35.38,29.27,88.44,50.36,4.97,2.66,
Moderate,Bengaluru,11-11-2018,105,0.8,1.11,43.57,17.68,16.45,37.67,34.04,101.12,55.48,5.67,2.94,
Moderate,Bengaluru,12-11-2018,113,1.47,1.38,65.11,18.69,32.73,47.6,25.83,120.24,63.66,6.65,4.39,
Moderate,Bengaluru,13-11-2018,143,1.87,1.46,59.92,18.82,25.65,50.42,28.07,130.84,71.05,7.96,5.53,
Moderate,Bengaluru,14-11-2018,143,1.91,1.57,77.83,21.93,40.06,56.64,25.98,143.53,77.53,7.78,5.63,
Moderate,Bengaluru,15-11-2018,141,1.14,1.43,50.94,20.58,21.57,43.91,17.61,105.52,58.35,6.5,3.95,
Satisfactory,Bengaluru,16-11-2018,88,0.33,1.05,31.59,18.74,11.77,28.79,19.48,59.99,25.1,5.06,1.9,
Satisfactory,Bengaluru,17-11-2018,84,0.36,1.02,28.53,17.03,7.31,28.7,35.62,96.6,49.2,5.2,1.46,
Satisfactory,Bengaluru,18-11-2018,91,0.21,1.01,25.94,16.24,9.24,20.87,26.38,83.45,41.2,5.38,1.09,
Satisfactory,Bengaluru,19-11-2018,77,0.28,1.1,28.63,14.46,13,22.54,13.5,61.66,19.95,5.57,1.36,
Satisfactory,Bengaluru,20-11-2018,77,0.37,1.09,35,15.63,15.66,28.52,16.08,67.23,25.85,5.21,1.8,
Satisfactory,Bengaluru,21-11-2018,81,0.3,1.02,32.46,16.38,11.66,28.34,21.91,71.11,33.31,5.74,1.85,
Satisfactory,Bengaluru,22-11-2018,73,0.3,1.03,30.52,15.83,13.98,24.12,11.65,39.52,17.95,5.89,1.81,
Satisfactory,Bengaluru,23-11-2018,79,0.34,1.11,34.72,18.03,16.08,27.32,11.55,50.78,25.58,5.57,1.88,
Moderate,Bengaluru,24-11-2018,144,0.54,1.04,32.39,19.59,11.24,29.96,25.36,93.05,108.3,5.34,1.88,
Moderate,Bengaluru,25-11-2018,142,0.76,0.85,27.58,21.03,7.46,27.32,41.24,106.53,61.34,5.25,1.76,
Moderate,Bengaluru,26-11-2018,124,0.8,0.83,30.14,21.13,7.78,30.65,58.03,119.7,71.66,5.65,1.79,
Moderate,Bengaluru,27-11-2018,127,0.78,0.84,36.17,41.22,19.16,36.44,62.99,137.9,54.73,5.5,1.68,
Moderate,Bengaluru,28-11-2018,127,0.82,0.89,32.37,21.36,10.19,29.98,52.81,112.2,59.58,5.6,1.97,
Moderate,Bengaluru,29-11-2018,119,0.82,0.93,28.83,18.27,11.35,25.48,42.35,86.54,42.06,5.48,2.22,
