Age Group,Ever Married,Gender,Graduated,ID,Martial Status,Profession,Spending Level,Spending Score,Age,Family Size,Work Experience
Senior,Yes,Female,Yes,463051,Married,Engineer,Low Spender,Low,72,2,0
Senior,Yes,Female,Yes,460950,Married,Artist,Low Spender,Average,51,3,0
Young Adult,No,Female,No,461960,Single,Healthcare,Low Spender,Low,26,5,8
Middle-Aged,No,Male,No,462616,Single,Executive,Low Spender,Low,39,5,6
Senior,Yes,Male,Yes,459746,Married,Artist,Low Spender,Low,69,1,1
Senior,Yes,Male,Yes,466399,Married,Entertainment,Low Spender,Low,65,3,9
Middle-Aged,No,Male,Yes,464175,Single,Healthcare,Low Spender,Low,32,3,0
Senior,Yes,Male,Yes,464636,Married,Lawyer,Top Spender,High,86,2,1
Senior,Yes,Female,Yes,461140,Married,Artist,Low Spender,Average,51,2,0
Young Adult,No,Male,No,465611,Single,Engineer,Low Spender,Low,18,4,8
Senior,Yes,Male,Yes,460594,Married,Lawyer,Low Spender,Low,75,1,1
Young Adult,No,Female,No,460386,Single,Healthcare,Low Spender,Low,20,4,2
Middle-Aged,Yes,Male,Yes,462109,Married,Engineer,Low Spender,Low,38,4,
Senior,Yes,Male,Yes,465659,Married,Artist,Low Spender,Low,51,5,
Middle-Aged,Yes,Male,Yes,461463,Married,Artist,Low Spender,Average,47,3,6
Middle-Aged,Yes,Male,Yes,460518,Married,Healthcare,Top Spender,High,33,2,9
Young Adult,No,Male,No,461412,Single,Healthcare,Low Spender,Low,18,3,0
Young Adult,No,Female,Yes,462411,Single,Doctor,Low Spender,Low,27,5,0
Middle-Aged,Yes,Male,Yes,460519,Married,,Top Spender,High,38,2,4
Middle-Aged,Yes,Female,Yes,465731,Married,Artist,Low Spender,Average,41,5,0
Senior,Yes,Female,No,464750,Married,Engineer,Top Spender,High,77,2,1
Senior,Yes,Female,Yes,460374,Married,Artist,Low Spender,Low,66,1,1
Middle-Aged,No,Male,Yes,460361,Single,Artist,Low Spender,Low,36,1,8
Young Adult,No,Female,Yes,466550,Single,Marketing,Low Spender,Low,25,2,
Senior,Yes,Female,Yes,467177,Married,Lawyer,Top Spender,High,71,2,1
Senior,Yes,Male,No,460759,Married,Executive,Top Spender,High,72,2,1
Senior,Yes,Male,Yes,464431,Married,Artist,Low Spender,Average,51,7,0
Middle-Aged,Yes,Male,Yes,464633,Married,Entertainment,Low Spender,Average,47,6,2
Middle-Aged,Yes,Male,Yes,462898,Married,Artist,Low Spender,Average,39,6,0
Middle-Aged,Yes,Male,Yes,460482,Married,Engineer,Low Spender,Low,42,4,1
Middle-Aged,Yes,Female,No,465247,Married,Doctor,Low Spender,Low,31,2,12
Young Adult,No,Male,Yes,461162,Single,Healthcare,Low Spender,Low,29,3,9
Senior,No,Female,Yes,459149,Single,Artist,Low Spender,Low,53,1,1
Senior,Yes,Male,Yes,459629,Married,Entertainment,Low Spender,Average,51,,0
Senior,Yes,Female,Yes,460076,Married,Artist,Low Spender,Low,68,2,1
Young Adult,Yes,Male,No,460687,Married,Marketing,Low Spender,Low,18,,8
Middle-Aged,,Female,No,465389,Single,Doctor,Top Spender,High,40,4,1
Middle-Aged,,Female,Yes,466176,Single,Engineer,Low Spender,Low,50,2,8
Middle-Aged,No,Female,Yes,464582,Single,Engineer,Low Spender,Low,37,4,0
Young Adult,Yes,Male,No,462452,Married,Entertainment,Low Spender,Average,29,5,1
Middle-Aged,Yes,Female,No,462222,Married,Healthcare,Top Spender,High,37,8,4
Middle-Aged,Yes,Female,No,460268,Married,Doctor,Top Spender,High,39,4,4
Young Adult,No,Female,No,465836,Single,Healthcare,Low Spender,Low,20,3,7
Senior,Yes,Female,Yes,463796,Married,Artist,Low Spender,Average,62,2,1
Senior,Yes,Female,Yes,459441,Married,Lawyer,Low Spender,Low,87,3,7
Senior,,Male,Yes,461389,Single,Artist,Low Spender,Average,62,3,0
Young Adult,No,Male,Yes,466788,Single,Entertainment,Low Spender,Low,27,2,1
Senior,Yes,Female,Yes,459737,Married,Lawyer,Top Spender,High,85,2,0
Senior,Yes,Female,No,467029,Married,Lawyer,Top Spender,High,84,2,1
Middle-Aged,Yes,Female,Yes,459264,Married,Lawyer,Top Spender,High,38,2,7
Middle-Aged,No,Female,Yes,467227,Single,Artist,Low Spender,Low,41,1,6
Senior,Yes,Female,Yes,461902,Married,Entertainment,Low Spender,Average,75,2,0
Young Adult,No,Female,No,462054,Single,Marketing,Low Spender,Low,23,4,0
Middle-Aged,No,Male,No,459675,Single,Doctor,Low Spender,Low,31,,
Middle-Aged,No,Male,Yes,465089,Single,,Low Spender,Low,43,1,8
Young Adult,Yes,Male,Yes,463217,Married,Artist,Top Spender,High,25,2,0
Young Adult,No,Female,Yes,460848,Single,Engineer,Low Spender,Low,28,5,0
Middle-Aged,Yes,Male,No,463723,Married,Artist,Top Spender,High,48,4,5
Young Adult,No,Male,Yes,464132,Single,Homemaker,Low Spender,Low,29,1,10
Senior,Yes,Male,No,463781,Married,Executive,Top Spender,High,51,4,1
Young Adult,No,Female,Yes,460619,Single,Homemaker,Low Spender,Low,27,1,8
Middle-Aged,Yes,Male,Yes,465501,Married,Artist,Low Spender,Average,41,4,0
Middle-Aged,Yes,Female,No,464816,Married,Engineer,Low Spender,Low,43,2,7
Middle-Aged,No,Female,No,462404,Single,Doctor,Low Spender,Low,48,1,2
Young Adult,No,Male,No,467219,Single,Healthcare,Low Spender,Low,25,3,3
Young Adult,No,Male,Yes,463696,Single,Artist,Low Spender,Low,29,3,
Young Adult,No,Female,No,466823,Single,Healthcare,Low Spender,Low,23,5,0
Middle-Aged,No,Female,Yes,460247,Single,Doctor,Low Spender,Low,50,1,14
Young Adult,No,Male,Yes,462198,Single,Healthcare,Low Spender,Low,27,2,9
Young Adult,No,Female,Yes,463556,Single,Doctor,Low Spender,Low,22,4,0
Senior,No,Male,Yes,467005,Single,Doctor,Low Spender,Low,52,2,0
Middle-Aged,Yes,Female,No,466726,Married,Doctor,Low Spender,Average,47,5,0
Senior,Yes,Female,Yes,462313,Married,Lawyer,Top Spender,High,88,2,0
Middle-Aged,No,Female,Yes,467444,Single,Entertainment,Low Spender,Low,41,2,6
Middle-Aged,Yes,Male,Yes,462968,Married,Engineer,Low Spender,Low,48,2,4
Middle-Aged,No,Female,Yes,462404,Single,Artist,Low Spender,Low,35,3,0
Senior,Yes,Female,No,464013,Married,Doctor,Low Spender,Average,57,6,0
Middle-Aged,Yes,Male,Yes,467712,Married,Artist,Low Spender,Average,49,3,4
Young Adult,No,Male,Yes,459450,Single,Doctor,Low Spender,Low,25,1,
Senior,Yes,Male,Yes,467406,Married,Artist,Low Spender,Average,60,2,0
Young Adult,No,Female,No,463846,Single,Entertainment,Low Spender,Low,20,4,0
Senior,Yes,Male,Yes,459713,Married,Artist,Top Spender,High,67,3,1
Middle-Aged,No,Male,No,463574,Single,Entertainment,Low Spender,Low,35,4,2
Young Adult,No,Male,No,460891,Single,Healthcare,Low Spender,Low,25,3,1
Middle-Aged,No,Male,Yes,461999,Single,Artist,Low Spender,Low,32,5,
Young Adult,No,Female,No,462454,Single,Healthcare,Low Spender,Low,29,2,
Young Adult,No,Male,Yes,461372,Single,Artist,Low Spender,Low,27,6,1
Middle-Aged,No,Female,Yes,463905,Single,Artist,Low Spender,Low,32,3,1
Middle-Aged,Yes,Male,Yes,465987,Married,Artist,Low Spender,Low,47,3,1
Young Adult,No,Male,Yes,460035,Single,Artist,Low Spender,Low,25,3,7
Middle-Aged,No,Female,No,462454,Single,Entertainment,Low Spender,Low,35,1,1
Middle-Aged,Yes,Female,Yes,467178,Married,Entertainment,Low Spender,Low,45,3,1
Young Adult,No,Female,No,460392,Single,Healthcare,Low Spender,Low,18,6,
Senior,Yes,Female,No,466893,Married,Engineer,Low Spender,Average,63,4,0
Senior,Yes,Male,No,460140,Married,Doctor,Low Spender,Low,68,1,10
Middle-Aged,Yes,Female,Yes,462374,Married,Artist,Low Spender,Average,42,4,1
Senior,No,Female,No,465837,Single,Engineer,Low Spender,Low,61,1,1
Middle-Aged,No,Female,No,461874,Single,Healthcare,Low Spender,Low,32,1,6
Middle-Aged,Yes,Female,Yes,467202,Married,Artist,Low Spender,Average,47,2,6
Middle-Aged,No,Female,No,465391,Single,Marketing,Low Spender,Low,33,4,0
Senior,Yes,Female,No,465095,Married,Lawyer,Low Spender,Low,70,,0
Middle-Aged,Yes,Male,Yes,462407,Married,Artist,Low Spender,Average,37,3,8
Middle-Aged,Yes,Female,Yes,462863,Married,Artist,Low Spender,Average,45,4,3
Middle-Aged,Yes,Female,No,460866,Married,Doctor,Low Spender,Average,49,5,1
Young Adult,No,Male,No,467600,Single,Healthcare,Low Spender,Low,21,4,8
Middle-Aged,Yes,Female,Yes,460533,Married,Artist,Low Spender,Average,40,,1
Senior,Yes,Female,Yes,467937,Married,Engineer,Low Spender,Low,61,,
Senior,,Male,Yes,459163,Single,Artist,Low Spender,Low,66,7,1
Middle-Aged,Yes,Female,Yes,463937,Married,Doctor,Top Spender,High,35,2,3
Senior,Yes,Male,Yes,463653,Married,Entertainment,Low Spender,Average,57,4,0
Young Adult,No,Male,No,464517,Single,Healthcare,Low Spender,Low,18,2,1
Middle-Aged,Yes,Male,Yes,462740,Married,Artist,Low Spender,Average,48,4,1
Senior,Yes,Male,No,459974,Married,Marketing,Low Spender,Low,68,2,0
Senior,Yes,Male,Yes,466476,Married,Lawyer,Low Spender,Low,68,1,0
Senior,No,Male,Yes,465901,Single,Artist,Low Spender,Low,58,2,1
Middle-Aged,,Female,Yes,466420,Single,Artist,Low Spender,Average,40,4,8
Middle-Aged,Yes,Female,Yes,463860,Married,Homemaker,Low Spender,Average,43,2,6
Young Adult,No,Male,Yes,462533,Single,Healthcare,Low Spender,Low,27,6,1
Senior,No,Male,Yes,462343,Single,Entertainment,Low Spender,Low,53,2,0
Middle-Aged,Yes,Male,No,464950,Married,Executive,Top Spender,High,39,5,9
Middle-Aged,No,Male,No,467574,Single,Healthcare,Low Spender,Low,31,4,0
Middle-Aged,Yes,Female,No,463408,Married,Homemaker,Low Spender,Low,37,2,9
Middle-Aged,No,Female,Yes,463757,Single,Healthcare,Low Spender,Low,37,1,2
Senior,Yes,Female,Yes,466614,Married,Lawyer,Low Spender,Low,65,2,
Young Adult,No,Male,Yes,461432,Single,Healthcare,Low Spender,Low,21,,7
Senior,Yes,Female,Yes,464077,Married,Lawyer,Top Spender,High,72,2,0
Senior,Yes,Male,No,464279,Married,Entertainment,Low Spender,Average,51,2,0
Senior,Yes,Male,No,465749,Married,Executive,Top Spender,High,61,4,1
Middle-Aged,Yes,Female,Yes,464497,Married,Artist,Low Spender,Average,50,4,1
Middle-Aged,No,Male,Yes,467643,Single,Artist,Low Spender,Low,35,,11
Senior,,Male,No,459033,Single,Executive,Top Spender,High,76,2,3
Senior,Yes,Female,No,463639,Married,Marketing,Low Spender,Average,55,2,4
Senior,Yes,Male,No,464453,Married,Executive,Top Spender,High,89,2,0
Senior,Yes,Male,No,464170,Married,Executive,Top Spender,High,69,2,1
Middle-Aged,Yes,Male,Yes,467458,Married,Artist,Low Spender,Low,37,,4
Middle-Aged,Yes,Male,Yes,463732,Married,Artist,Low Spender,Average,45,3,1
Young Adult,Yes,Male,Yes,465724,Married,Entertainment,Low Spender,Low,26,3,6
Senior,No,Female,No,466619,Single,Homemaker,Low Spender,Low,53,1,10
Young Adult,No,Male,No,459969,Single,Healthcare,Low Spender,Low,22,4,1
Senior,Yes,Male,Yes,461899,Married,Artist,Low Spender,Low,66,1,0
Middle-Aged,No,Female,Yes,464224,Single,Artist,Low Spender,Low,36,,
Senior,Yes,Male,Yes,466687,Married,Marketing,Top Spender,High,56,2,0
Young Adult,,Female,No,466890,Single,Engineer,Low Spender,Low,29,6,
Young Adult,No,Male,No,467615,Single,Doctor,Low Spender,Low,18,4,
Young Adult,Yes,Male,Yes,459793,Married,Healthcare,Low Spender,Low,27,3,5
Young Adult,No,Female,No,464196,Single,Homemaker,Low Spender,Low,25,1,1
Senior,Yes,Female,No,467299,Married,Lawyer,Top Spender,High,86,2,0
Senior,Yes,Female,Yes,466416,Married,Artist,Low Spender,Low,59,3,0
Middle-Aged,Yes,Male,Yes,465845,Married,Healthcare,Low Spender,Low,39,2,0
Senior,Yes,Female,No,465207,Married,Lawyer,Top Spender,High,60,2,8
Middle-Aged,Yes,Male,Yes,459948,Married,Artist,Low Spender,Low,48,1,1
Senior,Yes,Female,Yes,459295,Married,Artist,Low Spender,Low,82,3,0
Senior,Yes,Male,No,464770,Married,Executive,Top Spender,High,72,4,0
Middle-Aged,No,Male,Yes,465361,Single,Healthcare,Low Spender,Low,30,2,1
Senior,Yes,Male,Yes,466689,Married,Doctor,Low Spender,Average,63,2,7
Senior,Yes,Male,Yes,463709,Married,Artist,Low Spender,Average,55,2,2
Middle-Aged,No,Female,No,463846,Single,Healthcare,Low Spender,Low,33,4,6
Young Adult,No,Female,No,462574,Single,Artist,Low Spender,Low,28,3,0
Young Adult,No,Female,Yes,463782,Single,Homemaker,Low Spender,Low,28,3,14
Young Adult,No,Female,No,464762,Single,Healthcare,Low Spender,Low,18,9,
Senior,Yes,Male,Yes,462430,Married,Executive,Top Spender,High,89,2,0
Middle-Aged,Yes,Female,Yes,462416,Married,Marketing,Low Spender,Low,40,1,7
Senior,Yes,Male,Yes,464297,Married,Healthcare,Top Spender,High,53,2,1
Senior,Yes,Male,Yes,466011,Married,Entertainment,Low Spender,Average,61,4,0
Middle-Aged,No,Female,Yes,467702,Single,Artist,Low Spender,Low,37,3,1
Young Adult,No,Male,,465026,Single,Healthcare,Low Spender,Low,21,5,0
Senior,Yes,Male,No,464020,Married,Artist,Low Spender,Average,85,2,0
Young Adult,No,Male,No,461274,Single,Healthcare,Low Spender,Low,26,2,1
Middle-Aged,No,Female,Yes,467400,Single,Doctor,Low Spender,Low,33,4,0
Middle-Aged,No,Male,Yes,459850,Single,Artist,Low Spender,Low,32,4,4
Young Adult,Yes,Female,No,466293,Married,Doctor,Low Spender,Low,28,1,9
Young Adult,No,Male,No,464235,Single,Marketing,Low Spender,Low,22,4,0
Senior,Yes,Male,No,466202,Married,Lawyer,Low Spender,Low,80,1,1
Young Adult,No,Male,No,461694,Single,Healthcare,Low Spender,Low,28,4,0
Young Adult,No,Female,Yes,463396,Single,Artist,Low Spender,Low,28,1,2
Middle-Aged,Yes,Male,Yes,460764,Married,Entertainment,Top Spender,High,38,2,0
Young Adult,No,Female,No,463845,Single,Healthcare,Low Spender,Low,23,5,0
Senior,Yes,Female,Yes,459806,Married,Lawyer,Top Spender,High,82,2,
Senior,Yes,Male,Yes,461711,Married,Artist,Low Spender,Average,53,3,1
Middle-Aged,Yes,Male,Yes,460014,Married,Artist,Low Spender,Average,39,4,1
Senior,Yes,Female,No,460441,Married,Lawyer,Top Spender,High,73,2,1
Middle-Aged,No,Female,No,463029,Single,Entertainment,Low Spender,Low,35,1,
Senior,Yes,Male,Yes,464418,Married,,Low Spender,Average,72,2,1
Middle-Aged,No,Male,Yes,462276,Single,Executive,Low Spender,Low,35,5,0
Middle-Aged,Yes,Female,Yes,461497,Married,Artist,Low Spender,Average,43,4,1
Young Adult,No,Male,No,463405,Single,Entertainment,Low Spender,Low,28,2,1
Middle-Aged,Yes,Female,Yes,462004,Married,Entertainment,Low Spender,Average,36,,0
Senior,Yes,Male,No,459882,Married,Lawyer,Top Spender,High,77,2,0
Senior,Yes,Male,Yes,464338,Married,Artist,Low Spender,Average,69,4,0
Middle-Aged,No,Male,Yes,465245,Single,Artist,Low Spender,Low,43,3,2
Middle-Aged,Yes,Female,Yes,460966,Married,Artist,Low Spender,Low,50,2,6
Middle-Aged,Yes,Female,Yes,465317,Married,Executive,Top Spender,High,48,5,3
Senior,Yes,Male,Yes,467817,Married,Artist,Low Spender,Average,66,2,0
Middle-Aged,No,Female,Yes,467947,Single,Healthcare,Low Spender,Low,40,1,8
Young Adult,No,Female,No,465707,Single,Homemaker,Low Spender,Low,22,1,9
Middle-Aged,Yes,Female,Yes,461821,Married,Artist,Low Spender,Low,48,1,
Middle-Aged,Yes,Male,No,464626,Married,Executive,Top Spender,High,49,5,
Senior,Yes,Male,Yes,460651,Married,Artist,Low Spender,Average,56,5,3
Senior,Yes,Male,No,466427,Married,Executive,Top Spender,High,55,4,1
Senior,No,Male,Yes,459517,Single,Artist,Low Spender,Low,59,1,
Young Adult,No,Male,No,461244,Single,Healthcare,Low Spender,Low,20,4,1
Senior,Yes,Female,Yes,464500,Married,Engineer,Low Spender,Low,53,2,0
Middle-Aged,No,Female,No,465689,Single,Engineer,Low Spender,Low,32,3,
Middle-Aged,Yes,Female,Yes,461317,Married,Entertainment,Low Spender,Low,43,3,2
Middle-Aged,Yes,Female,Yes,459671,Married,Artist,Low Spender,Low,40,2,1
Middle-Aged,No,Male,Yes,461575,Single,Healthcare,Low Spender,Low,33,3,1
Senior,No,Male,No,464019,Single,Executive,Low Spender,Low,78,2,0
Middle-Aged,Yes,Male,No,459128,Married,Artist,Low Spender,Average,45,3,0
Senior,No,Female,Yes,467893,Single,Lawyer,Low Spender,Low,83,,0
Senior,Yes,Female,Yes,466678,Married,Artist,Low Spender,Low,59,,
Middle-Aged,Yes,Male,No,463242,Married,Executive,Top Spender,High,43,3,1
Young Adult,No,Male,No,467218,Single,Healthcare,Low Spender,Low,21,,
Middle-Aged,Yes,Male,Yes,459758,Married,Artist,Low Spender,Low,47,3,
Middle-Aged,Yes,Male,Yes,460965,Married,Homemaker,Top Spender,High,45,7,
Middle-Aged,No,Female,No,461640,Single,,Low Spender,Low,32,4,8
Young Adult,No,Female,No,466746,Single,Healthcare,Low Spender,Low,19,4,0
Young Adult,No,Male,No,459888,Single,Doctor,Low Spender,Low,21,3,1
Middle-Aged,No,Female,Yes,460477,Single,Artist,Low Spender,Low,46,1,0
Young Adult,No,Female,No,461642,Single,Healthcare,Low Spender,Low,27,3,3
Middle-Aged,Yes,Male,No,463554,Married,Entertainment,Low Spender,Average,43,4,1
Middle-Aged,Yes,Male,Yes,465932,Married,Entertainment,Low Spender,Average,39,2,1
Middle-Aged,Yes,Male,Yes,464158,Married,,Low Spender,Average,35,3,1
Young Adult,No,Female,No,465789,Single,Engineer,Low Spender,Low,23,1,0
Middle-Aged,Yes,Female,Yes,461821,Married,Artist,Low Spender,Average,43,2,5
Middle-Aged,Yes,Female,Yes,465848,Married,Artist,Low Spender,Average,50,2,0
Senior,Yes,Female,Yes,459266,Married,Lawyer,Low Spender,Average,65,2,1
Middle-Aged,Yes,Female,Yes,465702,Married,Doctor,Low Spender,Low,45,1,4
Middle-Aged,No,Female,Yes,460641,Single,Artist,Low Spender,Low,39,1,8
Middle-Aged,Yes,Male,Yes,462234,Married,Artist,Low Spender,Average,45,4,1
Senior,Yes,Male,Yes,459305,Married,Executive,Top Spender,High,59,2,0
Middle-Aged,Yes,Male,No,462291,Married,Executive,Top Spender,High,33,5,9
Senior,Yes,Female,Yes,462478,Married,Lawyer,Top Spender,High,77,2,1
Middle-Aged,No,Male,Yes,459112,Single,Entertainment,Low Spender,Low,42,1,
Senior,Yes,Male,Yes,464779,Married,Executive,Low Spender,Average,62,4,9
Young Adult,No,Male,No,464151,Single,Doctor,Low Spender,Low,20,4,0
Middle-Aged,No,Male,Yes,459867,Single,Artist,Low Spender,Low,31,2,1
Middle-Aged,Yes,Male,No,466878,Married,Entertainment,Low Spender,Low,50,2,1
Senior,,Female,Yes,464950,Single,Artist,Low Spender,Low,57,1,9
Middle-Aged,Yes,Male,Yes,461196,Married,Artist,Low Spender,Average,49,3,1
Middle-Aged,Yes,Female,Yes,463565,Married,Doctor,Low Spender,Low,35,2,1
Senior,Yes,Male,No,465861,Married,Engineer,Low Spender,Average,56,4,1
Senior,Yes,Female,Yes,466294,Married,Lawyer,Low Spender,Low,85,1,0
Senior,No,Female,Yes,464359,Single,Artist,Low Spender,Low,63,2,3
Middle-Aged,Yes,Male,No,463879,Married,Executive,Top Spender,High,41,3,
Young Adult,No,Female,No,460536,Single,Doctor,Low Spender,Low,25,4,1
Middle-Aged,No,Male,Yes,460009,Single,Homemaker,Low Spender,Low,47,1,
Middle-Aged,Yes,Female,No,463446,Married,Engineer,Top Spender,High,32,4,1
Middle-Aged,No,Female,Yes,462946,Single,Artist,Low Spender,Low,45,2,0
Senior,Yes,Female,Yes,459800,Married,Artist,Low Spender,Low,57,2,0
Senior,Yes,Male,No,460822,Married,Artist,Low Spender,Average,53,2,2
Young Adult,No,Female,Yes,460572,Single,Artist,Low Spender,Low,28,2,2
Middle-Aged,No,Female,Yes,467740,Single,Artist,Low Spender,Low,46,3,7
Senior,Yes,Female,Yes,462998,Married,Artist,Low Spender,Low,56,2,1
Senior,Yes,Male,Yes,463792,Married,Executive,Top Spender,High,65,2,0
Senior,Yes,Male,Yes,462193,Married,Doctor,Low Spender,Low,57,1,1
Senior,No,Male,Yes,466734,Single,Entertainment,Low Spender,Low,67,2,0
Senior,No,Male,No,461851,Single,Artist,Low Spender,Low,59,3,1
Senior,Yes,Female,Yes,464874,Married,Artist,Low Spender,Average,53,6,1
Senior,Yes,Female,Yes,461891,Married,Artist,Low Spender,Low,52,2,1
Senior,No,Female,Yes,466846,Single,Engineer,Low Spender,Low,53,1,1
Senior,Yes,Female,Yes,459177,Married,Artist,Top Spender,High,61,2,5
Young Adult,No,Male,No,463552,Single,Healthcare,Low Spender,Low,18,5,
Senior,Yes,Male,Yes,465788,Married,Artist,Low Spender,Low,67,2,1
Middle-Aged,No,Male,Yes,465995,Single,Artist,Low Spender,Low,45,2,1
Senior,Yes,Male,Yes,460188,Married,Executive,Top Spender,High,57,2,4
Senior,Yes,Male,No,465590,Married,Executive,Low Spender,Average,53,9,0
Middle-Aged,Yes,Female,No,464391,Married,Engineer,Low Spender,Low,47,5,3
Middle-Aged,Yes,Male,No,466832,Married,Healthcare,Low Spender,Average,33,2,8
Middle-Aged,No,Female,Yes,461481,Single,Artist,Low Spender,Low,41,2,9
Middle-Aged,Yes,Male,No,461482,Married,Engineer,Low Spender,Average,30,4,
Senior,Yes,Female,Yes,462222,Married,Artist,Low Spender,Average,51,3,
Middle-Aged,Yes,Male,Yes,463063,Married,Artist,Low Spender,Average,30,2,1
Young Adult,No,Male,No,461569,Single,Healthcare,Low Spender,Low,23,4,0
Middle-Aged,Yes,Female,Yes,464500,Married,Homemaker,Low Spender,Average,45,4,0
Senior,Yes,Female,Yes,467214,Married,Lawyer,Low Spender,Low,76,1,0
Middle-Aged,Yes,Male,Yes,462644,Married,Artist,Low Spender,Average,49,2,12
Middle-Aged,Yes,Female,Yes,459797,Married,Artist,Low Spender,Average,50,5,5
Middle-Aged,No,Male,Yes,465612,Single,Lawyer,Low Spender,Low,38,2,0
Young Adult,No,Female,Yes,465786,Single,Engineer,Low Spender,Low,28,,1
Senior,No,Male,No,461878,Single,Entertainment,Low Spender,Low,57,6,0
Middle-Aged,Yes,Female,Yes,466755,Married,Artist,Low Spender,Average,50,4,1
Senior,Yes,Male,No,465358,Married,Entertainment,Low Spender,Low,75,,
Senior,Yes,Female,No,466541,Married,Artist,Low Spender,Average,80,2,1
Senior,Yes,Male,Yes,461736,Married,Executive,Top Spender,High,61,2,1
Middle-Aged,No,Female,Yes,467916,Single,Doctor,Low Spender,Low,33,4,0
Young Adult,No,Female,No,462005,Single,Engineer,Low Spender,Low,28,4,
Senior,Yes,Male,No,461624,Married,,Top Spender,High,69,4,0
Senior,Yes,Male,Yes,459554,Married,Lawyer,Low Spender,Low,70,4,0
Senior,Yes,Male,Yes,466013,Married,Artist,Low Spender,Low,84,,3
Senior,Yes,Male,No,465527,Married,Lawyer,Top Spender,High,86,2,0
Senior,Yes,Female,Yes,466099,Married,Artist,Low Spender,Average,85,2,1
Middle-Aged,Yes,Male,Yes,461576,Married,Doctor,Top Spender,High,31,4,7
Young Adult,No,Female,No,465735,Single,Engineer,Low Spender,Low,29,4,
Middle-Aged,No,Female,Yes,463063,Single,Healthcare,Low Spender,Low,35,4,3
Middle-Aged,Yes,Male,Yes,466952,Married,Artist,Low Spender,Average,47,4,
Young Adult,Yes,Male,No,463588,Married,Healthcare,Low Spender,Average,27,2,1
Young Adult,No,Female,,464230,Single,Artist,Low Spender,Low,25,3,6
Senior,Yes,Male,Yes,459709,Married,Artist,Low Spender,Average,60,2,1
Senior,Yes,Male,Yes,459227,Married,Artist,Low Spender,Average,52,4,1
Senior,Yes,Male,No,459794,Married,Executive,Top Spender,High,75,9,
Middle-Aged,No,Male,Yes,460600,Single,Doctor,Low Spender,Low,35,1,3
Middle-Aged,Yes,Male,Yes,467249,Married,Doctor,Low Spender,Average,50,3,0
Senior,Yes,Male,Yes,466073,Married,Artist,Top Spender,High,72,5,0
Senior,Yes,Male,Yes,466516,Married,Entertainment,Low Spender,Low,53,2,2
Middle-Aged,No,Female,Yes,465034,Single,Healthcare,Low Spender,Low,43,2,0
Middle-Aged,No,Male,Yes,465126,Single,Artist,Low Spender,Low,37,1,5
Middle-Aged,Yes,Female,Yes,461101,Married,Artist,Low Spender,Low,37,3,8
Middle-Aged,Yes,Male,No,460947,Married,Marketing,Low Spender,Low,35,2,11
Middle-Aged,Yes,Female,Yes,467690,Married,Engineer,Low Spender,Low,38,2,9
Young Adult,No,Female,No,463977,Single,Marketing,Low Spender,Low,26,5,0
Middle-Aged,Yes,Female,Yes,460756,Married,Artist,Low Spender,Low,45,1,0
Senior,Yes,Male,Yes,460042,Married,Executive,Top Spender,High,55,4,1
Middle-Aged,Yes,Female,Yes,465935,Married,Artist,Low Spender,Low,35,3,11
Middle-Aged,Yes,Male,Yes,464505,Married,Artist,Low Spender,Average,49,2,0
Young Adult,No,Female,No,467860,Single,Artist,Low Spender,Low,28,3,0
Middle-Aged,No,Female,Yes,464576,Single,Engineer,Low Spender,Low,35,1,1
Young Adult,No,Male,No,465170,Single,Healthcare,Low Spender,Low,19,3,0
Middle-Aged,Yes,Male,Yes,465652,Married,Artist,Low Spender,Average,39,2,2
Middle-Aged,Yes,Female,Yes,461870,Married,Artist,Low Spender,Low,37,1,6
Middle-Aged,Yes,Male,Yes,462364,Married,Artist,Low Spender,Average,48,2,0
Young Adult,No,Female,No,465959,Single,Healthcare,Low Spender,Low,28,2,0
Middle-Aged,Yes,Male,Yes,459742,Married,Entertainment,Top Spender,High,41,5,4
Senior,No,Female,Yes,467388,Single,Artist,Low Spender,Low,53,1,5
Senior,Yes,Male,No,460534,Married,Entertainment,Low Spender,Average,51,2,
Young Adult,No,Female,No,461991,Single,Healthcare,Low Spender,Low,23,3,1
Senior,Yes,Male,Yes,459577,Married,Executive,Top Spender,High,72,1,1
Senior,Yes,Female,,460461,Married,Engineer,Top Spender,High,60,2,9
Middle-Aged,No,Male,No,463139,Single,Doctor,Low Spender,Low,30,5,1
Young Adult,No,Male,No,463255,Single,Healthcare,Low Spender,Low,22,3,4
Middle-Aged,Yes,Male,No,466164,Married,Artist,Low Spender,Low,30,2,5
Senior,Yes,Male,Yes,460268,Married,Artist,Low Spender,Low,66,2,0
Senior,Yes,Male,No,464536,Married,Artist,Top Spender,High,53,4,0
Young Adult,No,Male,No,466448,Single,Healthcare,Low Spender,Low,29,3,0
Middle-Aged,No,Male,Yes,463726,Single,Doctor,Low Spender,Low,31,2,8
Senior,Yes,Female,Yes,460500,Married,Doctor,Low Spender,Average,58,4,2
Middle-Aged,Yes,Female,Yes,461026,Married,Artist,Low Spender,Average,30,2,9
Young Adult,No,Male,No,467079,Single,Doctor,Low Spender,Low,21,4,1
Middle-Aged,Yes,Male,Yes,461947,Married,Artist,Low Spender,Low,45,3,3
Middle-Aged,No,Male,No,459487,Single,Healthcare,Low Spender,Low,33,3,
