District code,District name,State name,Age Group 0 29,Age Group 30 49,Age Group 50,Age not stated,Agricultural Workers,Below Primary Education,Buddhists,Christians,Condition of occupied census houses Dilapidated Households,Cultivator Workers,Female,Female Literate,Female SC,Female ST,Female Workers,Graduate Education,Having bathing facility Total Households,Having latrine facility within the premises Total Households,Higher Education,Hindus,Household size 1 person Households,Household size 1 to 2 persons,Household size 2 persons Households,Household size 3 persons Households,Household size 3 to 5 persons Households,Household size 4 persons Households,Household size 5 persons Households,Household size 6 8 persons Households,Household size 9 persons and above Households,Household Workers,Households,Households with Bicycle,Households with Car Jeep Van,Households with Computer,Households with Internet,Households with Radio Transistor,Households with Scooter Motorcycle Moped,Households with separate kitchen Cooking inside house,Households with Telephone Mobile Phone,Households with Telephone Mobile Phone Both,Households with Telephone Mobile Phone Landline only,Households with Telephone Mobile Phone Mobile only,Households with Television,Households with TV Computer Laptop Telephone mobile phone and Scooter Car,Housholds with Electric Lighting,Illiterate Education,Jains,Literate,Literate Education,Location of drinking water source Away Households,Location of drinking water source Near the premises Households,Location of drinking water source Within the premises Households,LPG or PNG Households,Main source of drinking water Handpump Tubewell Borewell Households,Main source of drinking water Other sources Households,Main source of drinking water River Canal Households,Main source of drinking water Spring Households,Main source of drinking water Tank Pond Lake Households,Main source of drinking water Tapwater Households,Main source of drinking water Tubewell Borehole Households,Main source of drinking water Un covered well Households,Main Workers,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Male,Male Literate,Male SC,Male ST,Male Workers,Marginal Workers,Married couples 1 Households,Married couples 2 Households,Married couples 3 Households,Married couples 3 or more Households,Married couples 4 Households,Married couples None Households,Married_couples_5__Households,Middle Education,Muslims,Non Workers,Not having bathing facility within the premises Total Households,Not having latrine facility within the premises Alternative source Open Households,Other Education,Other Workers,Others Religions,Ownership Owned Households,Ownership Rented Households,Population,Power Parity Above Rs 545000,Power Parity Less than Rs 45000,Power Parity Rs 150000 240000,Power Parity Rs 150000 330000,Power Parity Rs 240000 330000,Power Parity Rs 330000 425000,Power Parity Rs 330000 545000,Power Parity Rs 425000 545000,Power Parity Rs 45000 150000,Power Parity Rs 45000 90000,Power Parity Rs 90000 150000,Primary Education,Religion Not Stated,Rural Households,SC,Secondary Education,Sikhs,ST,Total Education,Total Power Parity,Type of bathing facility Enclosure without roof Households,Type of fuel used for cooking Any other Households,Type of latrine facility Flush pour flush latrine connected to other system Households,Type of latrine facility Night soil disposed into open drain Households,Type of latrine facility Other latrine Households,Type of latrine facility Pit latrine Households,Urban Households,Workers
69,Panchkula,HARYANA,309078,157076,93606,1533,12827,45607,1008,2583,5245,26682,261614,175456,47962,0,46614,83256,94560,77967,48306,490702,4053,13157,9104,14305,65612,28779,22528,25585,5882,9870,164551,42737,29497,32174,18615,27618,49972,103319,92486,23673,7872,60941,88378,27786,103455,119222,1626,405318,388559,5755,22286,82195,69687,5218,880,318,477,444,99720,3329,558,182831,2119,299679,229862,53868,0,164865,28648,74902,18116,4455,5295,680,11923,160,60177,23451,349814,15676,30235,8466,162100,90,78722,24115,561293,238,42,187,367,180,101,258,157,540,196,344,73584,882,70895,101830,69163,40951,0,507781,1445,8503,30,1402,332,388,6460,93656,211479
70,Ambala,HARYANA,617859,308126,201685,680,57293,89558,381,3705,8024,52871,529647,356737,139372,0,52019,91472,186183,142922,97980,955096,5230,18758,13528,22812,120894,51168,46914,54266,14153,15753,315256,133676,26122,32767,12899,32571,92424,193627,170149,30024,15833,124292,172034,23884,199681,222031,4845,818025,793235,4947,27750,175374,121622,32215,863,32,51,106,173860,14874,252,319475,1052,598703,461288,156874,0,320120,52664,136640,39766,10339,12555,1841,19110,375,161844,22143,756211,21888,59615,18727,246222,110,183898,18611,1128350,297,100,386,680,294,227,591,364,1113,491,622,170110,3868,175365,296246,163544,138202,0,1015266,2781,29343,75,3760,3131,3453,8236,139891,372139
71,Yamunanagar,HARYANA,694813,317708,201386,298,73251,107222,161,3646,12340,61516,567487,357664,143543,0,46890,82532,193584,148667,99170,984929,5490,19543,14053,23263,128240,53029,51948,64638,15742,12287,357723,148002,20791,25129,8079,27474,87959,205250,175426,19109,10257,146060,168506,17259,217503,319428,1555,832457,826207,7928,30238,189997,109080,48584,1494,376,46,71,176944,12740,360,339024,1987,646718,474793,163200,0,342343,50209,152818,41829,10321,12547,1836,20969,390,164652,138569,824972,34579,77478,18666,242179,126,201041,22109,1214205,273,89,348,636,288,209,545,336,1029,438,591,194654,764,214464,306743,159311,84455,0,1145635,2575,43977,126,7434,4286,4553,32479,143259,389233
72,Kurukshetra,HARYANA,552034,250830,160216,1575,85890,94530,214,1943,7231,68908,453679,276065,101817,0,68224,71007,152922,136321,81964,805175,3540,14688,11148,18809,104115,43935,41371,48824,11764,6726,291821,107683,20261,21951,7356,30979,73765,158156,145855,18061,8235,119559,143316,15839,171908,266638,375,646893,642789,6569,28663,144159,90150,25561,934,17,42,59,152471,23107,40,285904,1052,510976,370828,113311,0,268556,50876,115218,33776,9014,10985,1618,19412,353,118107,15970,627875,26469,38913,10999,175256,106,162147,13063,964655,190,83,319,522,203,183,478,295,864,416,448,145392,477,203553,215128,120790,140395,0,909427,2137,22616,39,6305,1332,1353,31566,88268,336780
73,Kaithal,HARYANA,630194,265813,176320,1977,85651,119345,265,1769,9252,128016,503301,260747,116027,0,81203,51043,153556,126896,82297,974520,3676,15118,11442,19624,111504,45618,46262,59344,14255,9450,306787,95704,12792,15301,3724,36696,59238,173902,153352,8646,6044,138662,140195,8124,187349,369869,351,646529,662470,25152,60650,114419,62668,77712,2845,354,36,897,116339,45149,1443,290663,4132,571003,385782,131486,0,292696,83236,128054,39137,9894,11896,1683,21134,319,124682,8232,700405,46665,67766,9111,150782,70,189832,7550,1074304,34,100,333,518,185,212,536,324,855,491,364,158239,1539,231091,247513,117753,87558,0,1032339,2046,26926,107,9476,3111,3235,56765,75696,373899
74,Karnal,HARYANA,884972,380409,234684,5259,133723,155839,532,2049,11884,112288,707612,413497,159923,0,104416,101387,238149,215989,124790,1341002,5761,23222,17461,29082,161777,66304,66391,81876,17676,15311,428602,143754,26238,29253,11163,39322,108101,252406,215865,17819,9579,188467,215813,20819,267223,429220,1516,978013,1004186,14402,45033,225116,143133,51117,3100,84,46,277,229500,29657,151,411533,3507,797712,564516,179681,0,411646,104529,189917,52737,12985,15700,2215,26197,500,188040,31650,989262,46402,63073,19186,254740,49,258981,19328,1505324,168,146,530,834,304,318,829,511,1388,730,658,231354,2319,292682,339604,183590,126207,0,1433406,3368,39846,93,9964,2045,2209,57562,135920,516062
75,Panipat,HARYANA,739075,298764,167244,354,62358,118873,289,2261,7820,72120,558580,322463,96518,0,83651,75774,191098,176766,91756,1083936,4783,17992,13209,23156,123573,50265,50152,65067,13756,15824,327306,90548,17466,26719,10024,26625,74923,201026,172677,13262,8489,150926,162321,17705,209965,296212,4647,786599,752884,17950,53544,148894,121846,69876,2672,208,33,467,145881,41486,712,339016,3380,646857,464136,109695,0,328667,73302,152367,37420,8949,10817,1543,19784,325,143466,86622,793119,29290,40371,10977,262016,99,182191,32473,1205437,231,91,357,635,278,217,566,349,1035,444,591,170565,2519,173502,206213,141473,25064,0,1049096,2559,24901,115,4927,6550,7013,22142,153804,412318
76,Sonipat,HARYANA,855201,360216,233318,1266,101733,138489,336,1405,11516,142344,668702,408435,125419,0,132094,101186,224790,183719,150760,1390149,6555,22103,15548,26720,150015,61743,61552,78258,19282,18184,417434,119029,22367,30697,9029,44589,84519,248760,207285,16947,12597,177741,192317,18270,253054,344813,6033,998316,1017189,32654,65828,171176,126009,91587,4761,626,29,851,164405,59531,5630,396763,6267,781299,589881,144516,0,391085,126416,174200,51229,13154,15863,2262,28366,447,182396,45100,926822,44868,83116,19261,260918,29,239850,25832,1450001,412,153,585,989,404,336,876,540,1624,766,858,200458,2465,283858,269935,224639,4484,0,1362002,4054,29972,161,3205,1309,1644,23186,133576,523179
77,Jind,HARYANA,784085,335704,213478,885,102071,136892,172,889,10853,230387,621146,330709,131411,0,155145,64599,186317,146428,107994,1276669,4228,17274,13046,23783,134056,55033,55240,73299,19953,9114,368000,113068,15836,23750,5263,40480,61694,221117,193577,14045,11087,168445,160742,10485,222462,419624,2594,832758,815843,50863,73935,119784,78386,89084,4981,542,39,1170,129177,43302,15600,385851,6732,713006,502049,150940,0,368277,137571,153267,48467,13086,15718,2146,27130,486,151682,23016,810730,58265,94342,14277,181850,56,227870,12316,1334152,29,131,441,679,238,279,712,433,1122,650,472,185626,1653,278335,282351,154773,29103,0,1235467,2674,30674,184,9147,579,891,49237,89665,523422
78,Fatehabad,HARYANA,555745,237009,147469,1788,97997,103541,171,996,9757,132250,446651,230107,135246,0,105585,37741,152219,134586,61476,779243,3026,12757,9731,17216,99951,41231,41504,51558,11828,6558,258380,86268,14030,13142,3210,29817,52633,159106,136196,10912,4347,120937,107042,7830,153301,344534,1172,557578,542399,13305,39877,122912,51693,41039,1355,1970,28,1773,128708,25578,228,286258,5126,495360,327471,149111,0,263498,82825,118034,32676,8838,10397,1302,14987,257,99948,8360,572928,23875,37401,9504,132278,530,162708,8832,942011,39,89,304,465,161,187,488,301,774,444,330,136663,570,203020,284357,93526,150969,0,886933,1854,41778,44,9804,144,235,80729,55360,369083
79,Sirsa,HARYANA,750228,334344,208185,2432,147042,141766,370,2186,13027,164297,612607,325929,184951,0,132541,61620,216307,215371,83373,940255,4202,17328,13126,23790,135060,57070,54200,70339,17490,11952,338792,117760,24468,22706,6287,45101,75692,215779,190983,17622,7898,165463,150315,13695,215527,412353,2256,782897,792628,10272,33381,196564,70538,26345,1968,3363,61,1906,204475,19947,178,399169,7298,682582,456968,202430,0,369462,102834,157925,45978,13988,16392,1996,19922,408,153263,9524,793186,23910,19978,16698,178712,624,219428,12951,1295189,140,113,435,663,228,252,657,405,1107,569,538,201349,1012,245476,387381,134559,338962,0,1204981,2681,60969,84,15287,146,235,138230,93316,502003
80,Hisar,HARYANA,1017830,456536,265109,4456,144213,197303,334,1945,15588,261120,812369,444111,191447,0,203300,105346,273915,231144,144626,1701061,5846,22962,17116,32391,188751,80345,76015,91914,21419,16097,456126,147721,24642,33400,10132,65713,90721,305078,259276,16651,11379,231246,202588,21142,285004,505251,3620,1114311,1093767,53834,76543,194669,110495,78490,2895,4199,53,4792,218535,11612,12798,531227,11939,931562,670200,217338,0,488321,160394,215575,60114,16187,18978,2326,30379,465,194595,21650,1052310,51131,87692,19031,270191,33,295628,23078,1743931,100,167,577,917,340,362,941,579,1518,828,690,230074,3018,302013,408785,202792,12270,0,1599018,3642,40677,98,13434,418,827,83800,154113,691621
81,Bhiwani,HARYANA,964960,405760,261428,2297,103788,186145,254,873,15893,288543,767773,426713,159687,0,192328,104875,241914,175689,148995,1611031,5367,21776,16409,30859,175604,75191,69554,88960,22472,14855,456282,99232,16793,25236,5292,58375,66069,289221,242718,11502,10057,221159,176336,11346,266244,459364,1016,1069871,1093788,60002,84400,164410,88938,68692,5860,347,67,3557,203509,36262,22116,445675,9831,866672,643158,181475,0,430678,177331,198703,58683,17581,20686,2605,30740,500,198307,15515,1011439,66898,130566,13786,215820,26,293443,11408,1634445,149,150,549,827,278,321,837,516,1384,756,628,223049,3329,357047,341162,218631,2401,0,1553152,3349,41570,73,10649,439,675,51547,99235,623006
82,Rohtak,HARYANA,605741,269354,185685,424,36568,117097,200,732,7826,95732,492725,311557,101316,0,73321,100346,174390,147990,109596,1043887,4261,15759,11498,21602,118044,50316,46126,55628,13502,8521,306942,91682,16545,27225,8482,39834,63575,190149,160621,13922,9432,137267,150160,17402,193120,248795,3491,747582,808357,28372,37780,136781,94633,35577,2431,1086,34,440,154010,10545,8169,288949,3991,568479,436025,115573,0,272646,57018,133362,37417,9594,11401,1525,20753,282,140782,8185,715237,28543,53703,21134,205146,24,185204,15541,1061204,291,77,296,561,265,177,461,284,909,372,537,150903,769,175203,216889,168499,3916,0,1057152,2299,17619,128,2416,391,705,18679,131739,345967
83,Jhajjar,HARYANA,549975,245095,162356,979,44845,90737,105,734,8744,112389,443738,276611,79592,0,76514,58826,153834,123545,97457,945693,3807,13891,10084,19716,105616,45175,40725,50636,13257,9254,290144,69952,14298,19241,5034,40791,52868,170101,145032,10748,11057,123227,128007,9674,168558,201028,645,676091,627288,32772,36547,114081,70149,36644,4715,173,41,1670,133448,14363,5301,246457,6599,514667,399480,90856,0,250020,80077,114239,35840,9978,11871,1604,21450,289,115794,8247,631871,29566,58314,9387,160046,22,168223,12154,958405,260,81,305,524,219,171,446,275,859,407,452,109829,1917,211816,170448,145258,1042,0,828316,2169,20490,121,2304,539,586,20655,78328,326534
84,Mahendragarh,HARYANA,530000,229392,161258,1438,38320,94273,75,301,5132,149146,435423,249815,73894,0,105649,60296,113329,74605,94245,913251,2971,11918,8947,17146,91491,39036,35309,49530,15586,7639,267942,54810,8538,13908,2624,25809,45775,152743,133653,9313,5274,119066,88012,5827,135455,245602,644,630255,654072,32687,55460,80378,45359,40151,7081,60,51,5698,108389,37955,4493,212402,12890,486665,380440,82420,0,232935,126182,100023,37004,13048,15919,2295,15579,576,126291,5660,583504,55196,92928,10353,143479,15,162961,3691,922088,144,80,303,460,157,169,439,270,770,407,363,135849,405,223726,156314,132765,1737,0,899674,1894,29560,67,2418,228,303,22949,44216,338584
85,Rewari,HARYANA,518747,230704,150557,324,28215,81280,202,701,5173,102698,425997,261494,87035,0,102401,65143,134804,100436,95807,889133,3879,14103,10224,18914,97233,42148,36171,45917,11875,9782,268754,71366,12161,18092,5121,28534,58897,159721,137152,14923,8629,113600,108753,10676,152651,206827,1525,636947,635173,18637,35782,114709,62667,37962,3439,147,34,1773,122608,24732,2055,250219,5393,474335,375453,95571,0,235326,87508,105725,34760,10257,12265,1655,16378,353,122617,5713,562605,34324,67834,9820,197032,12,156650,9969,900332,249,72,270,478,208,153,400,247,780,359,421,120860,1242,199449,182606,139646,1804,0,842000,1979,25447,26,19106,240,337,27384,69305,337727
86,Gurgaon,HARYANA,875531,428101,210307,493,27097,126920,944,9725,11975,56046,697742,472450,93605,0,112260,233402,290709,271169,150120,1408801,15610,48612,33002,48505,189075,81885,58685,66325,16630,18228,523691,103261,92934,102343,67087,83772,131478,304118,274931,53812,19984,201135,248024,86768,305751,263720,7451,1111116,1123831,19329,44026,257287,238359,93746,4773,264,71,1253,219377,81189,587,487441,6361,816690,638666,104332,0,432456,57275,211628,46969,13062,16024,2427,46021,535,175370,70842,969716,29933,44529,41366,443345,254,211728,98060,1514432,577,85,409,795,386,220,531,311,1118,404,714,177453,1318,141703,197937,219200,15097,0,1387551,3107,22951,605,1835,1235,1739,30003,381988,544716
87,Mewat,HARYANA,790930,186916,110688,729,55278,125261,516,1235,13269,104237,518101,146462,35508,0,65322,12453,92492,36802,22265,221846,1995,11007,9012,10975,49647,17477,21195,61056,35310,6023,223635,37702,6220,10499,935,14156,33748,106186,111968,2304,2341,107323,27367,1653,96309,619284,1453,454897,410483,71263,48984,36773,15593,53678,8837,37,32,10018,58016,17363,22895,204178,18924,571162,308435,39743,0,224642,85786,106432,27510,9881,13222,2589,9856,752,67299,862647,799299,64528,119303,5527,124426,4,151691,3587,1089263,12,118,349,524,175,229,540,311,856,560,296,135842,970,187398,75251,41836,592,0,1029767,2048,51790,247,2958,689,888,10065,36237,289964
88,Faridabad,HARYANA,1095602,481318,231029,1784,29288,137902,640,9743,9755,27705,843623,537799,104304,0,102296,259933,313812,296399,178846,1588407,10026,34713,24687,42722,201457,84281,74454,94686,22210,32286,470681,170927,63470,82673,43437,67341,152884,334623,302937,42136,20485,240316,279652,64331,333171,346567,4883,1272739,1306146,34162,65216,253688,258422,114361,20596,187,117,5639,211123,46224,188,495316,26539,966110,734940,119495,0,476933,83913,244743,54372,14109,17481,2764,36470,608,198551,161680,1230504,39254,49424,27864,489950,249,276186,69917,1809733,511,156,638,1278,640,416,1086,670,2050,729,1321,220384,9559,87700,223799,282666,34572,0,1652713,5080,33041,524,5879,3845,5529,41186,382981,579229
89,Palwal,HARYANA,684189,224043,133913,563,60685,125474,345,932,9455,91506,488211,220100,95382,0,68099,43780,112618,74531,65963,826342,2281,10234,7953,11985,71054,25760,33309,63475,23047,8566,249159,67580,10185,16736,4283,15928,55825,142348,121222,9718,9969,101535,93313,7884,132606,393825,915,599796,602312,28413,43873,95524,46498,60655,5148,28,33,928,95032,11507,4463,216932,6137,554497,379696,107741,0,241464,92631,109785,32682,11484,14535,2441,10808,610,113940,208566,733145,55192,91359,8373,148806,20,160239,5953,1042708,117,104,365,570,205,219,561,342,945,516,429,142156,1617,186069,203123,102626,3971,0,996137,2297,35447,39,2743,1443,1729,7617,63090,309563
90,North West,NCT OF DELHI,2138591,1013424,503055,1469,13289,228507,2281,14100,24844,11433,1695617,1165903,325691,0,166126,465677,633690,618297,519808,3211042,24268,74882,50614,87545,414944,172776,154623,195983,44225,35896,1026867,235402,152362,188876,114044,225342,263624,715763,636303,125209,34818,476276,631015,153687,720900,416720,43460,2707855,3028168,72479,140611,516944,625662,75625,55419,247,61,19404,578245,30391,256,1135126,75131,1960922,1541952,371546,0,1022419,53419,506247,108699,26154,31344,4365,83744,825,607092,291330,2467994,96344,38562,22436,1127927,345,529391,176115,3656539,769,578,589,1171,582,482,1049,567,3584,1681,1903,571255,1852,67592,697237,613393,92129,0,3444888,7151,38109,591,6406,3536,3696,19449,959275,1188545
91,North,NCT OF DELHI,506601,256501,124513,363,1791,58952,1824,7256,6011,2187,412976,299902,78656,0,38871,107099,160265,158373,97744,726443,6818,18924,12106,20501,99025,40757,37767,46661,11280,11028,301071,45555,25574,40543,21418,52360,63424,172937,160557,23026,8053,129478,156786,29150,174310,125277,13049,681517,677717,11881,32679,131330,161067,14275,12171,21,6,5093,144005,2353,122,283583,17291,475002,381615,87007,0,257575,12863,121420,24284,5999,7382,1118,22804,265,142788,119792,591532,15625,4534,11098,281440,81,121769,46519,887978,769,578,589,1171,582,482,1049,567,3584,1681,1903,133915,467,4512,165663,126121,19066,0,802994,7151,6732,46,887,507,516,2382,296559,296446
92,North East,NCT OF DELHI,1393078,581016,264663,2867,2406,206524,2388,9123,7975,2235,1053199,699107,176699,0,67033,122983,372599,375856,212438,1529337,7179,26855,19676,39568,201329,79718,82043,129291,37585,30738,487581,143358,37482,69417,30390,101469,152678,391476,357017,36405,17023,303589,349535,49581,391951,257966,24673,1611588,1881944,23497,68213,303350,356769,68067,2426,24,40,1471,322815,22360,60,622443,3961,1188425,912481,197059,0,594353,38943,280722,61219,16919,21583,3772,31536,892,488767,657585,1580238,22461,2465,9199,626007,48,297491,92097,2241624,769,578,589,1171,582,482,1049,567,3584,1681,1903,500493,1046,5326,373758,341540,17424,0,2139910,7151,18348,409,9508,43095,43504,3749,482255,661386
93,East,NCT OF DELHI,948963,497157,262124,1102,3094,86484,2643,15792,6817,1156,801846,604616,133403,0,92741,246988,333378,331089,235187,1410852,13760,42887,29127,50278,209378,90332,68768,82972,19148,19541,462218,103064,87499,127465,80037,148483,162670,350135,329844,79700,21876,228268,320151,102512,352758,169693,46927,1352998,1334283,4205,28364,321816,327253,17468,1665,7,42,1097,333999,12321,33,555026,2811,907500,748382,148019,0,486951,24666,246036,50271,11891,14439,2087,43639,461,260094,178807,1129654,21007,5592,18644,555901,366,241976,101386,1709346,769,578,589,1171,582,482,1049,567,3584,1681,1903,219061,932,1086,281422,267825,53027,0,1503976,7151,8919,89,4743,15044,15189,2298,461132,579692
94,New Delhi,NCT OF DELHI,76076,43913,21773,242,275,4641,312,4852,1121,121,64062,48501,15360,0,12601,23934,27047,23658,17742,124482,2391,5054,2663,4305,18037,8060,5672,6180,1114,1030,52664,11029,7248,11948,7366,10803,10268,29538,27920,6183,2127,19610,26397,8650,30023,10098,679,114179,91499,2199,4197,23989,26681,1068,61,1,7,275,28951,404,6,56471,344,77942,65678,17885,0,46940,3070,21298,3072,531,619,81,5396,7,15326,8480,82463,3338,600,2186,58115,66,3939,17203,142004,769,578,589,1171,582,482,1049,567,3584,1681,1903,11728,200,0,33245,15942,2933,0,101597,7151,2069,10,51,0,1,60,52664,59541
95,Central,NCT OF DELHI,317650,169533,94448,689,601,34122,362,3527,3695,597,274499,201842,69396,0,29753,80251,104791,104040,62124,364148,4472,13472,9000,14854,63862,26437,22571,29033,8220,10902,194897,17214,21001,30627,19724,39419,39119,112606,104185,19937,6618,77630,102933,23220,113399,87286,5886,442360,443517,684,8788,105115,101826,4168,192,1,17,29,110084,2837,15,195978,239,307821,240518,73782,0,177621,11396,78101,14851,3712,4633,710,17002,211,96755,194278,374946,9796,706,6097,195274,107,80973,28341,582320,769,578,589,1171,582,482,1049,567,3584,1681,1903,80924,974,0,143178,83244,13038,0,530803,7151,3164,77,180,25,63,152,194897,207374
96,West,NCT OF DELHI,1399165,732515,408953,2610,4358,157606,1993,18337,14856,2952,1187003,867246,176374,0,141722,440295,474955,471008,327114,2087294,18592,60377,41785,71023,312245,133311,107911,123973,27108,29022,701512,150955,134587,171002,109666,173913,218843,514528,476978,114857,26264,335857,468163,141965,520282,308139,11322,1961179,2032794,24403,76862,422438,475985,53711,11824,24,57,2718,455131,32313,47,839621,14623,1356240,1093933,200098,0,732598,34699,358891,78148,18322,21790,2948,64874,520,365913,149807,1668923,48748,11801,54376,837988,273,382998,122526,2543243,769,578,589,1171,582,482,1049,567,3584,1681,1903,318376,2465,1809,376472,369114,271752,0,2340933,7151,13603,245,2364,1316,1444,12277,699703,874320
97,South West,NCT OF DELHI,1296955,683209,308675,4119,7753,152945,2784,31226,12143,9733,1046912,762428,148203,0,127375,400800,432180,421100,308513,2102743,21093,60567,39474,65714,279110,121252,92144,101534,21561,18614,647682,164362,105425,156635,94853,164683,183150,454597,425929,84219,23937,317773,402661,122031,457784,278832,9215,1787689,1814620,27838,61397,373537,423855,81027,24345,33,26,6609,350289,71283,37,749995,31013,1246046,1025261,170205,0,667977,45357,319191,62544,15317,18468,2654,62569,497,313817,112691,1497606,30592,19701,47723,759252,266,269056,175905,2292958,769,578,589,1171,582,482,1049,567,3584,1681,1903,255177,2341,41179,318408,335645,31692,0,2093452,7151,17709,220,2304,2329,2545,12024,606503,795352
98,South,NCT OF DELHI,1588001,785085,355602,3241,5908,191659,3862,41880,15995,2984,1264501,893366,199727,0,148801,458858,503279,487320,354078,2155759,24533,72458,47925,74615,314680,130422,109643,138146,28438,25081,731063,151260,121101,176435,111453,198605,204607,542907,513042,91135,30607,391300,481782,136051,549402,328287,11020,2078402,2256556,38929,93230,421563,504898,142568,12625,85,42,4436,393274,105327,50,869086,17188,1467428,1185036,223199,0,775592,55307,389462,70764,16417,20097,3025,73399,655,400595,445914,1807536,50443,25388,52503,890420,645,351710,181367,2731929,769,578,589,1171,582,482,1049,567,3584,1681,1903,368772,3329,2918,422926,430091,69520,0,2584843,7151,26544,179,4649,2572,2682,6948,728145,924393
99,Ganganagar,RAJASTHAN,1167889,502211,283484,15584,230438,237042,938,2077,10212,268297,925828,482435,343678,6317,316352,104071,332389,316783,105734,1437144,9836,36897,27061,38326,205706,84197,83183,106572,24702,13790,562594,149905,21515,24901,6295,75327,85320,317953,284669,31301,8003,245365,181616,15323,283142,710223,1988,1193343,1181845,35256,101909,236712,88543,29267,14937,28054,56,16832,274355,4556,5249,680563,59879,1043340,710908,376734,7160,596320,232109,257909,63985,18448,21776,2759,30207,569,238397,50688,1056496,41488,54612,19396,400147,164,330298,23354,1969168,322,327,168,316,148,157,411,254,1955,997,958,314107,1316,397697,720412,163098,474853,13477,1892068,3332,127944,108,14754,1396,1536,234228,164897,912672
100,Hanumangarh,RAJASTHAN,1058044,453114,242361,21173,166833,239601,241,1542,8365,370452,843508,409855,235837,6711,322458,84185,278085,278373,104087,1433067,6235,25778,19543,30391,177261,75419,71451,97663,28169,13839,497753,93418,16537,16217,3360,56817,56973,294975,249474,22065,6353,221056,140280,7808,243163,723454,1935,1034136,1088552,35887,100071,192913,55515,27588,15085,13223,57,21671,246593,9019,1005,642109,50036,931184,624281,258352,7578,512802,193151,216660,61217,22375,26672,3510,24322,787,219194,118673,939432,50786,48544,14416,284136,138,306363,11944,1774692,239,287,123,237,114,133,348,215,1599,840,759,273441,2099,389059,494189,153628,216997,14289,1812006,2709,87483,42,18868,525,699,223672,108694,835260
101,Bikaner,RAJASTHAN,1543867,517271,288165,14634,103833,410155,285,1901,14160,499223,1123136,496402,234114,3572,345636,101714,301031,195188,80296,2073356,6510,26098,19588,26627,152709,55756,70326,139477,57686,26244,531933,97914,17113,29531,7607,73365,68379,345409,287946,19699,9934,258313,138480,15765,220793,1015331,30850,1278801,1341957,81963,99339,194668,108812,42877,32053,32076,133,30981,224200,37355,2717,752768,95243,1240801,782399,259532,4207,640572,233440,239576,71678,30558,42151,8393,22565,3200,254335,235741,1377729,74939,179589,18577,356908,79,349733,17010,2363937,335,320,178,337,159,160,420,260,1999,1004,995,333211,1653,335754,493646,143669,20072,7779,2357288,3411,83670,235,16149,18386,18947,34675,196179,986208
102,Churu,RAJASTHAN,1293193,458725,272176,15453,87983,336671,188,958,16925,572644,988101,452540,216608,5342,361425,77282,268120,200805,100677,1777879,4813,20461,15648,24835,157157,60723,71599,123209,46524,16594,493893,46531,9938,15259,2577,50369,27698,311578,268431,20477,8872,239082,131174,4720,231696,910226,7104,1149269,1228712,62808,131525,153018,74197,25206,19862,278,74,14436,268551,22958,9512,628381,34650,1051446,696729,235113,5903,541404,274448,217710,69555,29997,39372,7125,20714,2250,237220,249736,1136718,79231,145862,13320,225608,127,338115,6521,2039547,238,373,139,296,157,178,467,289,1987,1056,931,302022,3153,344897,451721,161520,402,11245,2138938,3361,48243,42,18618,230,336,39076,148996,902829
103,Jhunjhunun,RAJASTHAN,1298780,494124,330126,14015,68878,296093,56,1004,8656,521692,1041149,554526,174830,20249,353257,158936,297078,205571,192240,1905682,6532,25732,19200,33294,189011,75177,80540,122785,46136,13472,650809,74695,15861,24178,4828,68472,59920,336430,314807,36248,17804,260755,189511,9276,297559,712584,548,1370360,1536668,49410,142622,191632,131987,104352,13359,110,149,9957,231401,87590,17774,592813,23575,1095896,815834,185879,21380,541392,301836,239984,74557,30255,38856,6711,30267,1890,301866,228178,1242396,86586,177248,25286,290607,85,371091,9196,2137045,288,354,122,266,144,162,426,264,1966,1021,945,305626,1217,500452,360709,256621,275,41629,2249252,3300,55618,81,24802,148,395,19009,150357,894649
104,Alwar,RAJASTHAN,2346721,836000,490137,1321,216772,492781,4384,2696,20145,898891,1735153,822647,310098,135852,714371,222622,330836,172919,230415,3039279,14425,54747,40322,52787,288169,114385,120997,205655,80342,34562,995261,242678,30207,45770,9750,108846,179435,514708,477446,33184,18353,425909,258862,22416,485723,1384905,13221,2182476,2262867,152904,259700,216309,123478,376001,11388,169,138,7856,189088,196407,40306,1179461,19551,1939026,1359829,342938,153397,994171,529081,403740,113701,49889,65112,11527,46360,3696,468628,547335,1965637,298077,452398,31390,558317,348,595153,27599,3674179,661,544,447,656,209,241,631,390,3242,1700,1542,492981,2384,782294,653036,324050,64532,289249,3647772,5732,131914,214,8210,1170,1650,16795,212967,1708542
